gen,description,te_class_suzukii
nsun5,Nop2/Sun-like domain containing protein,DNA/RC
cg42359,,DNA/RC
nanos,,DNA/RC
cg11779,,DNA/RC
asrna:cr44107,antisense,DNA
atpsynd,ATP synthase%2C subunit,LINE/CR1
mrpl55,mitochondrial ribosomal protein,LINE/CR1
lncrna:cr46041,long non-coding,DNA
gukh,,DNA
snrnp-u1-c,small ribonucleoprotein particle U1 subunit,DNA
dnk,deoxyribonucleoside,DNA
smu1,Smu1 spliceosomal,DNA
euc,,DNA
cg14292,,LINE/I
cg34284,,LINE/I
cg14294,,LINE/I
rh2,Rhodopsin,LINE/I
cg14297,,LINE/I
lncrna:cr45633,long non-coding,LTR/Gypsy
cg7720,,DNA
lncrna:cr45996,long non-coding,DNA/P
cg34282,,DNA/P
cg14300,,DNA/P
muc91c,Mucin,DNA/P
cht,Choline,DNA/P
cg46318,dicistronic,DNA/P
polq,DNA polymerase,LTR
cg12279,,LTR
past1,Putative Achaete Scute Target,LTR
nijc,Ninjurin,LTR
cg14391,,LTR
arp1,Actin-related protein,LTR
cg31347,,LTR
su(fu),Suppressor of,LTR
kar,,LTR
cg6225,,LINE
dtg,Dpp target,LINE
cg6753,,LINE
cg11600,,LINE
lncrna:cr46016,long non-coding,DNA
hug,,DNA
trus,toys are,LTR/Gypsy
cg18549,,DNA/RC
desat1,Desaturase,DNA/RC
cg17207,dicistronic,DNA
cg46427,dicistronic,DNA
srlp,Spliceosome-ribosome linker,DNA
aos1,Activator of SUMO,DNA
prosalpha2,Proteasome alpha2,DNA
cg5641,,DNA/RC
nans,N-acetylneuraminic acid,DNA/RC
pp1-87b,Protein phosphatase 1 at,DNA/RC
cg5196,,DNA
cg5167,,DNA
dnalig3,DNA ligase,DNA
cyp9f2,Cytochrome P450,DNA
cyp9f3,Cytochrome P450,DNA/P
cg10096,dicistronic,LTR/Gypsy
cg10097,dicistronic,LTR/Gypsy
sol1,,DNA/RC
cg33098,,LINE/I
gstd11,Glutathione S transferase,DNA
cg10035,,DNA
gstd8,Glutathione S transferase,DNA
gstd7,Glutathione S transferase,DNA
gstd6,Glutathione S transferase,LTR/Gypsy
gstd5,Glutathione S transferase,LTR/Gypsy
gstd4,Glutathione S transferase,LTR/Gypsy
gstd2,Glutathione S transferase,LTR/Gypsy
lncrna:cr46015,long non-coding,LTR/Gypsy
gstd1,Glutathione S transferase,DNA/RC
calx,Na/Ca-exchange,DNA/RC
alp5,Alkaline phosphatase,DNA/MITE
dhc93ab,Dynein heavy chain at,LINE/I
cg12278,,LINE/I
cg31189,,LINE/I
cg31207,,LINE/I
cg7079,,LINE/I
mvl,,LINE/I
cortactin,,DNA
anxb9,Annexin,DNA
r-l,,DNA
dmrt93b,doublesex-Mab related,LTR
hhex,Hematopoietically expressed,LTR
rhogap93b,Rho GTPase activating protein at,DNA/RC
lncrna:cr44178,long non-coding,DNA/RC
cg7044,,DNA/RC
tbc1d22,TBC1 domain family member,DNA/RC
asrna:cr46045,antisense,DNA/RC
sec15,Secretory,DNA/RC
rtet,tetracycline,LTR/Gypsy
rab11,,LTR/Gypsy
ppan,peter,LTR/Gypsy
slmb,supernumerary,DNA/RC
cg5793,,DNA/RC
rab1,,LTR/Gypsy
ap-2sigma,Adaptor Protein complex 2%2C sigma,LTR/Gypsy
idi,Isopentenyl-diphosphate delta,LTR/Gypsy
cg3308,,LTR/Gypsy
cg3301,,LTR/Gypsy
cg17298,,LTR/Gypsy
mir-4951,mir-4951 stem,LINE/I
aus,,DNA/RC
mod(mdg4),modifier of,DNA
mod(mdg4),modifier of,DNA
mod(mdg4),modifier of,DNA
mod(mdg4),modifier of,DNA
mod(mdg4),modifier of,DNA
pre-mod(mdg4)-b,,DNA
pre-mod(mdg4)-g,,DNA
pre-mod(mdg4)-h,,DNA
pre-mod(mdg4)-k,,DNA
pre-mod(mdg4)-l,,DNA
pre-mod(mdg4)-p,,DNA
pre-mod(mdg4)-j,,DNA
pre-mod(mdg4)-i,,DNA
mod(mdg4),modifier of,DNA/RC
mod(mdg4),modifier of,DNA/RC
mod(mdg4),modifier of,DNA/RC
mod(mdg4),modifier of,DNA/RC
mod(mdg4),modifier of,DNA/RC
pre-mod(mdg4)-t,,DNA/RC
pre-mod(mdg4)-z,,DNA/RC
mod(mdg4),modifier of,DNA/RC
mod(mdg4),modifier of,DNA/RC
mod(mdg4),modifier of,DNA/RC
mod(mdg4),modifier of,DNA/RC
mod(mdg4),modifier of,DNA/RC
pre-mod(mdg4)-c,,DNA/RC
pre-mod(mdg4)-ab,,DNA/RC
pre-mod(mdg4)-e,,DNA/RC
mod(mdg4),modifier of,LINE/CR1
mod(mdg4),modifier of,LINE/CR1
mod(mdg4),modifier of,LINE/CR1
mod(mdg4),modifier of,LINE/CR1
mod(mdg4),modifier of,LINE/CR1
pre-mod(mdg4)-aa,,LINE/CR1
pre-mod(mdg4)-o,,LINE/CR1
pre-mod(mdg4)-n,,LINE/CR1
tin,,LINE/CR1
bap,,DNA
ugt49b2,UDP-glycosyltransferase family 49 member,LINE/CR1
lncrna:cr46046,long non-coding,LINE
lbl,ladybird,LINE/CR1
lncrna:cr44089,long non-coding,DNA/RC
lbe,ladybird,DNA/RC
lncrna:cr43453,long non-coding,LINE
fancm,Fanconi anemia group M,LINE/CR1
c15,,LINE/I
sp3,,LINE/I
lncrna:cr43372,long non-coding,DNA/RC
lncrna:cr44033,long non-coding,DNA/RC
slou,,DNA/MITE
cg15498,,DNA
lncrna:cr46057,long non-coding,LINE
archease,,LTR
jhbp16,Juvenile hormone binding protein,LTR
pola1,DNA polymerase alpha subunit,LTR
cg31176,,LTR
cg10903,,DNA/RC
cg2747,,DNA/RC
impe3,Ecdysone-inducible gene,DNA/RC
pbp95,PSEA-binding protein,DNA/RC
cg10435,,DNA/RC
cg3223,,DNA/RC
cg11052,,DNA/RC
cg2767,,DNA/RC
cg2698,,DNA/RC
kmn2,kinetochore Mis12-Ndc80 network component,DNA/RC
pig-h,Phosphatidylinositol glycan anchor biosynthesis class,DNA/RC
cg31792,,DNA
lncrna:cr46142,long non-coding,DNA/MITE
lncrna:cr46143,long non-coding,DNA/MITE
lds,,DNA
scarna:meu2-c41,small Cajal body-specific RNA :,DNA
cg10445,,DNA/RC
rfk,Riboflavin,DNA
prat,,DNA
taf7,TBP-associated factor,DNA
emc1,ER membrane protein complex subunit,DNA
mrps9,mitochondrial ribosomal protein,DNA
wtrw,water,LTR
cg18268,,LTR/COPIA
cg3014,,LTR/COPIA
cg18746,,DNA/RC
cg18748,,DNA/RC
cg18745,,DNA/RC
cg18747,,DNA/RC
alpha-est2,,LTR/COPIA
asrna:cr46128,antisense,DNA/RC
alpha-est3,,DNA/RC
alpha-est4,,DNA/RC
alpha-est5,,LTR/Gypsy
alphatub84d,alpha-Tubulin at,LTR/Gypsy
alpha-est6,,LTR
alpha-est7,,DNA/MITE
ubc84d,Ubiquitin conjugating enzyme,LINE/I
alpha-est8,,LINE/I
alpha-est9,,DNA/RC
mics1,Mitochondrial morphology and cristae structure,DNA/RC
alpha-est10,,DNA/RC
cg14598,,DNA/RC
wa-cup,walker,DNA
ir84a,Ionotropic receptor,DNA
lncrna:cr45560,long non-coding,DNA
mstprox,,LTR/Gypsy
mst84da,Male-specific RNA,LTR/Gypsy
lncrna:cr44337,long non-coding,DNA
lncrna:ts14,long noncoding RNA: testis-specific,DNA
lncrna:cr44335,long non-coding,DNA
lncrna:cr46299,long non-coding,DNA
cg10029,,DNA
lncrna:cr46130,long non-coding,DNA
lncrna:cr44334,long non-coding,DNA
rn,,DNA/RC
cg42544,,DNA/RC
racgap84c,Rac GTPase activating protein at,DNA
lncrna:cr44333,long non-coding,DNA
sparc,Secreted protein%2C acidic%2C,LINE
syt4,Synaptotagmin,LINE
cg1288,,DNA/RC
sas,stranded at,LTR/COPIA
sas-4,Spindle assembly abnormal,LINE/I
lncrna:cr44933,long non-coding,DNA
lncrna:cr45899,long non-coding,DNA
antp,,DNA
cg46458,dicistronic,DNA
lncrna:cr43252,long non-coding,DNA/RC
lncrna:cr44932,long non-coding,DNA/RC
lncrna:cr45559,long non-coding,DNA/RC
ftz,fushi,LTR/Gypsy
lncrna:cr45900,long non-coding,DNA/RC
scr,Sex combs,LTR/Gypsy
lncrna:cr45905,long non-coding,LTR/Gypsy
lncrna:cr45904,long non-coding,LTR/Gypsy
lncrna:cr45903,long non-coding,LTR/Gypsy
lncrna:cr45902,long non-coding,LTR/Gypsy
lncrna:cr45901,long non-coding,LTR/Gypsy
trna:lys-ttt-2-5,,LTR/Gypsy
7slrna:cr32864,,LTR/Gypsy
trna:lys-ttt-2-4,,LTR/Gypsy
trna:lys-ttt-2-2,,DNA/PIFHARBINGER
7slrna:cr42652,Signal recognition particle 7SL RNA,DNA/PIFHARBINGER
trna:lys-ttt-2-3,,DNA/PIFHARBINGER
trna:lys-ttt-2-1,,DNA/PIFHARBINGER
lncrna:cr42651,long non-coding,DNA/PIFHARBINGER
lncrna:cr45915,long non-coding,DNA
mir-10,,DNA
dfd,,DNA/PIFHARBINGER
lncrna:cr42721,long non-coding,DNA/PIFHARBINGER
lncrna:cr43435,long non-coding,DNA/PIFHARBINGER
mir-993,mir-993 stem,DNA/PIFHARBINGER
lncrna:cr44930,long non-coding,DNA
ama,,DNA
lncrna:cr45593,long non-coding,DNA
bcd,,LTR/Gypsy
zen,,LTR/Gypsy
ccp84aa,,DNA
ccp84ab,,DNA
lncrna:cr33938,,DNA
agt,O-6-alkylguanine-DNA,LINE/I
twr,twisted bristles roughened,LINE/I
cg1307,,LINE/I
taf1,TBP-associated factor,LINE/I
ass,Argininosuccinate,DNA
cg31286,,DNA
sunz,,LTR/Gypsy
cg15177,,LTR/Gypsy
sowi,,LTR/Gypsy
lncrna:cr46131,long non-coding,DNA
cg1137,,LINE
lncrna:cr46132,long non-coding,LINE
pif2,PFTAIRE-interacting factor,LINE
cg2839,,DNA/RC
trna:met-cat-1-5,,DNA
cg15186,,DNA
dmtn,,DNA
gzl,godzilla E3 ubiquitin protein,DNA
tfiifalpha,Transcription factor,DNA/P
cg1024,,DNA/P
hr83,Hormone receptor,LINE/I
cg18048,,DNA/RC
smd2,Small ribonucleoprotein particle protein,DNA/RC
cg17919,,DNA/RC
cg10298,,DNA/RC
cg17917,,DNA/RC
osi20,Osiris,LTR/COPIA
osi19,Osiris,LTR/COPIA
osi18,Osiris,LTR/COPIA
osi17,Osiris,LINE/I
osi16,Osiris,LTR/Gypsy
osi15,Osiris,DNA/RC
osi14,Osiris,LTR/COPIA
osi11,Osiris,LTR/COPIA
osi10b,Osiris,LTR/COPIA
osi4,Osiris,LINE
cg33301,,DNA
obp83ef,Odorant-binding protein,LTR/COPIA
lncrna:cr44929,long non-coding,LTR/COPIA
or83c,Odorant receptor,DNA
cg15580,,DNA/RC
lncrna:cr44921,long non-coding,DNA/RC
lncrna:cr46221,long non-coding,LTR/Gypsy
obp83b,Odorant-binding protein,DNA
obp83a,Odorant-binding protein,DNA
lncrna:ts20,long noncoding RNA: testis-specific,DNA
lncrna:cr44926,long non-coding,DNA
lncrna:cr44925,long non-coding,DNA
lncrna:cr45762,long non-coding,DNA
lncrna:cr45761,long non-coding,DNA
cg2017,,DNA
asrna:cr46133,antisense,DNA
ecsit,,DNA
disp,,DNA
cg14676,,DNA/RC
cg1213,,DNA/RC
psmg1,Proteasome assembly chaperone,DNA/RC
hpf1,Histone PARylation factor,DNA/RC
rpn5,Regulatory particle non-ATPase,DNA/RC
hat1,Histone acetyltransferase,DNA/RC
kat-60l1,katanin p60-like,DNA/RC
jagn,,DNA/RC
cg1239,,DNA/RC
lncrna:cr44924,long non-coding,DNA/RC
cas,,DNA/RC
plx,,LINE/I
cg2104,,LINE/I
rab23,,LINE/I
atg17,Autophagy-related,LINE/I
xe7,,LINE/I
wdr33,WD repeat domain,LINE/I
asrna:cr46134,antisense,LINE/I
cg2182,,LTR
asrna:cr44093,antisense,LTR
med27,Mediator complex subunit,LTR
elm,ethanol sensitive with low,LTR
sec23,Secretory,LTR
mta1-like,Metastasis associated,LINE
cg12170,,LINE
cg31548,,LINE
cg31546,,LINE
cg12171,,LINE
cg31549,,LINE
cg31551,,DNA/RC
rpl13a,Ribosomal protein,DNA/RC
spec2,,LINE/I
dph4,Diphthamide biosynthesis,LINE/I
atu,Another transcription,LINE/I
asrna:cr46135,antisense,LINE/I
rga,,LINE/I
asrna:astr,,LINE/I
asl,,LINE
kra,,LINE
snorna:psi28s-2442b,,LTR/COPIA
snorna:psi28s-3091b,,LINE/CR1
snorna:psi28s-3385a,,LINE/CR1
snorna:psi28s-3385b,,LINE/CR1
vha26,Vacuolar H[+]-ATPase 26kD,LINE/CR1
noi,,LINE/CR1
polz2,DNA polymerase zeta subunit,LINE/CR1
cg2926,,LINE/CR1
itpr,Inositol 1%2C4%2C5%2C-trisphosphate,LINE
cg43845,,DNA/RC
nmdar1,NMDA receptor,DNA
nkcc,sodium potassium chloride,DNA
cg31550,,LTR/Gypsy
cg12147,,DNA/RC
orco,Odorant receptor,DNA/RC
cg2663,,DNA/RC
cg1172,,LTR/Gypsy
or83a,Odorant receptor,LTR/Gypsy
cg11999,,LTR/Gypsy
tim17b1,,DNA/RC
cg31538,,LINE
kat60,Katanin,DNA/RC
vps37b,Vacuolar protein sorting,DNA/RC
cg2604,,DNA/RC
cg1116,,DNA/RC
snrna:u4atac,,LTR/COPIA
lncrna:cr43424,long non-coding,DNA/RC
cg14662,,DNA/RC
jhbp1,Juvenile hormone binding protein,DNA/RC
jhbp2,Juvenile hormone binding protein,DNA/RC
gnf1,Germ line transcription factor,LINE/CR1
cg14657,,LINE/CR1
bbs5,Bardet-Biedl syndrome,DNA
gmppb,GDP-mannose pyrophosphorylase,DNA
hus1-like,,LTR/Gypsy
asrna:cr46137,antisense,LTR/COPIA
rpk,ripped,DNA/RC
asrna:cr44155,antisense,DNA/RC
dlip2,Dorsal interacting protein,DNA
slx1,nuclease,DNA
med31,Mediator complex subunit,DNA
cg9775,,DNA
cg31522,,DNA/RC
asrna:cr43629,antisense,LINE
cg14650,,DNA
lipt2,,DNA/RC
asrna:cr44134,antisense,DNA/RC
cg1074,,LTR/Gypsy
asrna:cr46138,antisense,LTR/Gypsy
skp2,,DNA/RC
cg14645,,DNA/PIFHARBINGER
cg9776,,DNA/RC
cg9795,,DNA/RC
syt14,,LTR/COPIA
suv3,,LTR/COPIA
vps24,,DNA/RC
asrna:cr46140,antisense,DNA/RC
mp1,Melanization Protease,DNA/RC
mir-929,mir-929 stem,DNA
gel,,DNA/RC
cox3,,LTR/Gypsy
cg13995,,LTR/Gypsy
nd-51,NADH dehydrogenase (ubiquinone) 51 kDa,DNA/PIFHARBINGER
fbw5,F-box and WD repeat domain containing,DNA/RC
smal,smoke,LINE
cg9135,,DNA
cg3704,,LTR/Gypsy
cg32815,,LTR/Gypsy
tram,,LTR/Gypsy
cg3706,,LTR/Gypsy
cg3708,,LTR/Gypsy
med22,Mediator complex subunit,LTR/Gypsy
lztr1,Leucine zipper like transcription regulator,LTR/Gypsy
cg3713,,DNA/RC
rbf,Retinoblastoma-family,DNA/PIFHARBINGER
cg16989,,DNA/PIFHARBINGER
su(sable),suppressor of,DNA/PIFHARBINGER
hlh3b,Helix loop helix protein,LINE
per,,DNA/RC
dyw,,LINE/CR1
spg7,,LINE/CR1
cv,,LINE/CR1
asrna:cr45525,antisense,LINE/CR1
pgap1,Post-GPI attachment to proteins,LINE/CR1
fz3,frizzled,DNA
mus81,,DNA
cg3703,,DNA
cg3699,,DNA/RC
cg3690,,DNA/RC
eif4e7,eukaryotic translation initiation factor,DNA/MITE
cg11378,,DNA/RC
cg11384,,DNA
cg11379,,DNA
cg14627,,DNA
crag,Calmodulin-binding protein related to a Rab3 GDP/GTP exchange,DNA/RC
cg12659,,DNA/RC
cg12081,,DNA/RC
cg12065,,DNA/RC
spirit,Serine Protease Immune Response,LTR
cg12111,,LTR
trf4-1,Topoisomerase related function,LTR
nrg,,DNA
pcm,,LTR
cg8028,,DNA
rictor,rapamycin-insensitive companion of,DNA
hs3st-b,Heparan sulfate 3-O,DNA
cg7992,,DNA
cg7889,,DNA
cg14196,,DNA
cg7884,,LTR/COPIA
mur18b,Mucin related,LTR
cg1801,,DNA
trna:tyr-gta-1-8,,DNA
trna:tyr-gta-2-1,,DNA
abca3,ATP binding cassette subfamily A member,DNA
tak1,TGF-beta activated kinase,DNA/RC
tbc,,DNA/MITE
ypel,,DNA/RC
cg43902,,DNA/RC
zap3,,LINE
lncrna:cr45602,long non-coding,LINE
cg15312,,LINE
yp1,Yolk protein,LTR/COPIA
asrna:cr45601,antisense,LTR/COPIA
yp2,Yolk protein,LTR/COPIA
cht6,Chitinase,LTR/COPIA
asrna:cr45185,antisense,LTR/COPIA
dna2,DNA replication helicase/nuclease,LINE/I
cg15252,,DNA/RC
cg43386,,DNA/RC
cg1889,,DNA/RC
cg1791,,DNA/RC
cg1986,,LTR
cg15249,,DNA
ptpmeg2,Protein tyrosine phosphatase,DNA
hecw,Hecw ubiquitin protein,LINE
cg15317,,DNA
rps28b,Ribosomal protein,DNA
l(1)g0320,lethal (1),DNA
bcl7-like,,DNA/RC
zdhhc8,Zinc finger DHHC-type containing,DNA/RC
cg34450,,DNA/MITE
lncrna:cr44534,long non-coding,DNA
lz,,DNA
c11.1,,DNA
aladin,,DNA
cfp1,CXXC finger protein,DNA
erk7,Extracellularly regulated kinase,DNA
ric8a,,DNA
cg17754,,DNA
gr8a,Gustatory receptor,DNA
cg15370,,DNA
t,,DNA
obp8a,Odorant-binding protein,DNA
smyda-9,SET and MYND domain containing%2C arthropod-specific%2C member,LTR
su(r),suppressor of,DNA/P
cg12106,,DNA/P
cg12118,,DNA/P
cg12056,,DNA/P
cg12057,,DNA
fs(1)n,female sterile (1),DNA/RC
daam,Dishevelled Associated Activator of,DNA/RC
lncrna:cr46248,long non-coding,DNA/RC
atf3,Activating transcription factor,DNA
ogg1,8-oxoguanine DNA,DNA
cg11294,,DNA
lncrna:cr44507,long non-coding,DNA
lncrna:cr44508,long non-coding,DNA
hexo2,Hexosaminidase,LINE/I
cg2004,,LINE/I
cg1785,,LINE/I
l(1)g0020,lethal (1),LINE/I
cg1789,,LINE/I
moe,,DNA
uros1,Uroporphyrinogen III synthase,DNA
mir-31b,mir-31b stem,DNA/RC
shf,,DNA/RC
coq7,Coenzyme,DNA/RC
cg12991,,DNA/RC
x11l,,DNA/RC
chas,,LTR
cg8188,,LTR
raskol,,DNA
unc-4,,DNA/P
socs16d,Suppressor of Cytokine Signaling at,DNA
lncrna:cr44691,long non-coding,DNA
cg6398,,DNA
taf9,TBP-associated factor,DNA
cg3719,,LTR
cg32813,,LTR
rilpl,Rab interacting lysosomal protein,DNA/RC
futsch,,DNA
cg32809,,DNA
a6,,DNA
cg3795,,DNA
adar,Adenosine deaminase acting on,DNA/RC
mir-981,mir-981 stem,DNA/RC
cg4313,,LINE
sik2,Salt-inducible kinase,LINE
cg4281,,LINE
cg4199,,LINE
cg4194,,LINE
cg7766,,DNA
mco4,Multicopper oxidase,DNA
asrna:cr43981,antisense,DNA
srx,,DNA
arp8,Actin-related protein,DNA
cg6769,,DNA
egh,,DNA/RC
wds,will die,LTR
cg13760,,LTR
aanatl7,Arylalkylamine N-acetyltransferase-like,LTR
vha36-3,Vacuolar H[+] ATPase 36kD subunit,DNA/RC
pdfr,Pigment-dispersing factor,DNA/RC
trol,terribly reduced optic,DNA
boi,brother of,DNA/P
z,,DNA/P
tko,technical,DNA/P
psgef,Protostome-specific,DNA
cg2841,,DNA
pcx,,DNA/PIFHARBINGER
cg14052,,DNA/PIFHARBINGER
asrna:cr45479,antisense,DNA
cyp4d14,Cytochrome P450,DNA
nd-b14.5a,NADH dehydrogenase (ubiquinone) B14.5 A,DNA
cg3630,,DNA
cyp4d1,Cytochrome P450,DNA
wapl,wings,DNA
bcn92,,DNA
pgd,Phosphogluconate,DNA
unc-76,Uncoordinated,DNA
cg16903,,DNA
cg4025,,DNA
c3g,C3G guanyl-nucleotide exchange,DNA/RC
pod1,pod1,DNA/RC
iav,,DNA/RC
nf-yc,Nuclear factor Y-box,DNA/RC
xit,,LINE
atx-1,Ataxin,LINE
nonc,no-on-and-no-off transient,LINE
machr-c,muscarinic Acetylcholine Receptor%2C,LINE
cg14435,,LINE
tmf,TATA element modulatory,LINE
cht11,Chitinase,LINE
cg4558,,LINE
vnd,ventral nervous system,LTR/COPIA
ebo,ellipsoid body,DNA/PIFHARBINGER
cyp4g1,Cytochrome P450,DNA/PIFHARBINGER
ase,,DNA/PIFHARBINGER
g9a,,LTR/Gypsy
cg3038,,LTR/Gypsy
cg5815,,DNA
cg13367,,DNA
roc1a,Regulator of cullins,DNA
hmt4-20,Histone methyltransferase,DNA
skpa,SKP1-related,DNA
or10a,Odorant receptor,DNA
gr10a,Gustatory receptor,DNA
dlg1,discs large,DNA
tim8,,DNA/RC
hop,,DNA/RC
pa1,PTIP associated,DNA/RC
dsh,,DNA/RC
ptp4e,Protein tyrosine phosphatase,DNA/RC
cg3009,,DNA
cbp80,cap binding protein,DNA
lncrna:cr32773,long non-coding,DNA/RC
bi,,DNA/RC
lncrna:cr46499,,LTR
no66,Nucleolar protein,DNA
mei-9,meiotic,DNA
lncrna:cr44957,long non-coding,DNA
lncrna:cr46156,long non-coding,DNA
cg15572,,DNA
cg15576,,DNA/RC
nsun2,NOP2-Sun domain family%2C member,LINE/CR1
cib,,LINE/CR1
brn,,LINE/CR1
xpac,Xeroderma pigmentosum group,LINE/CR1
rpp20,Ribonuclease P protein subunit,DNA/RC
cg33932,dicistronic,DNA/RC
cox6b,Cytochrome c oxidase subunit,DNA/RC
cg18809,,DNA/RC
cg14234,,DNA/RC
ap-1-2beta,Adaptor Protein complex 1/2%2C beta,DNA/RC
cg15760,,DNA/MITE
cg11162,,DNA/MITE
cg12177,,DNA/MITE
cg11158,,DNA/MITE
nadsyn,NAD,DNA/MITE
nna1,Nna1,DNA/MITE
pdcd4,Programmed cell death,DNA
rtc1,,DNA
yp3,Yolk protein,DNA
rdgb,retinal degeneration,DNA
inae,inactivation no afterpotential,LINE
cg10996,,LINE
cg11095,,LTR
clic,Chloride intracellular,LTR
nup93-1,Nucleoporin,LTR
jub,Ajuba LIM,LTR
ampdeam,AMP,LTR
cg11581,,DNA
cg11584,,DNA
asrna:cr45995,antisense,DNA
cg32603,,DNA
cg12481,,DNA
cg13403,,DNA
yl,,DNA
prp16,pre-mRNA processing factor,DNA/RC
cg11674,,DNA/RC
mrpl38,mitochondrial ribosomal protein,DNA/RC
cg42271,,DNA/RC
lncrna:cr44110,long non-coding,DNA
gd,,DNA
tsg,twisted,DNA
cg18130,,DNA
fw,,DNA
cg4301,,DNA/RC
cg9981,,DNA/RC
mei-41,meiotic,DNA/RC
th1,,DNA/RC
fur2,Furin,DNA
nona,no on or off transient,DNA
cg3632,,LTR/Gypsy
erp44,Endoplasmic reticulum protein,LTR/Gypsy
caz,,LTR/Gypsy
cg32576,,LTR/Gypsy
uqcr-14,Ubiquinol-cytochrome c reductase 14 kDa,LTR/Gypsy
eas,easily,LTR/Gypsy
disco-r,,LTR/Gypsy
cg42353,dicistronic,DNA/RC
cg42354,dicistronic,DNA/RC
tob,Transducer of,DNA
cg8958,,DNA
cg12698,,DNA/RC
vap,vacuolar,DNA/RC
cg8939,,DNA/RC
mmd,,LTR
lrp4,LDL receptor related protein,LINE/CR1
cycd,Cyclin,DNA/RC
shi,,DNA/RC
cg15916,,DNA/PIFHARBINGER
msbp,membrane steroid binding,DNA/PIFHARBINGER
tay,tay,DNA/PIFHARBINGER
sordd1,suppression of retinal degeneration disease 1 upon overexpression,DNA
rhp,,DNA
mrps30,mitochondrial ribosomal protein,DNA
huwe1,HECT%2C UBA and WWE domain containing E3 ubiquitin protein ligase,LTR
cg15601,,LTR
cg9281,,LTR
hap40,Huntingtin-associated protein 40,LTR
pis,Phosphatidylinositol,LTR
asrna:cr43299,antisense,LINE
cg10555,,LINE/I
cg1387,,LINE/I
cg1636,,DNA/RC
cg15343,,DNA/RC
cg1632,,DNA/RC
corp,Companion of,DNA/RC
nd-75,NADH dehydrogenase (ubiquinone) 75 kDa,DNA/RC
trxr1,Thioredoxin reductase,DNA/RC
sni,,DNA/RC
smox,Smad on,LINE/CR1
cg2120,,LINE/CR1
cyr,,LINE/CR1
cg10958,,LINE/CR1
cg2116,,LINE/CR1
gclc,Glutamate-cysteine ligase catalytic,LTR
cg2258,,LTR
ubce2h,Ubiquitin conjugating enzyme,LTR
asrna:cr45535,antisense,LTR
cg2256,,LTR
lncrna:cr44766,long non-coding,LINE
cg12637,,LTR
cg2111,,DNA
cg9806,,DNA/RC
hmr,Hybrid male,DNA/RC
cg32687,,DNA/RC
ppp4r2r,Protein phosphatase 4 regulatory subunit 2-related,DNA
cg32683,,DNA
flw,,LTR/Gypsy
psf3,Partner of Sld Five,LTR
cg17841,,LTR
cg32681,,LTR
cg2898,,DNA/RC
cg32686,,DNA/RC
cg32679,,DNA/RC
cg1504,,DNA
peritrophin-a,Peritrophin,DNA/RC
obst-a,,DNA
adamts-b,ADAM metallopeptidase with thrombospondin type 1 motif,LTR/Gypsy
lncrna:cr42794,long non-coding,LTR/Gypsy
cg3149,,LTR/Gypsy
cg2701,,LINE/I
fs(1)yb,female sterile (1),LINE/I
fs(1)ya,female sterile (1) Young,LINE/I
dwg,deformed,LINE/I
ttm50,tiny tim,LINE/I
cg2712,,LINE/I
crm,,LINE/I
syx4,Syntaxin,DNA
lncrna:cr43494,long non-coding,LTR
w,,DNA
cg12498,,DNA/RC
cg3588,,DNA
cg14424,,DNA
cg32793,,DNA
cg3592,,DNA
cg14420,,DNA/MITE
cg14421,,DNA/MITE
cg14422,,DNA/MITE
cg14423,,DNA/MITE
cg3603,,DNA/MITE
rst,,DNA/RC
ng4,new glue,LTR/COPIA
pig1,Pre-intermoult gene,DNA
cg10793,,DNA
cg10804,,DNA
cg13021,,LTR/Gypsy
ppk8,pickpocket,DNA/RC
cg2875,,DNA
cg2930,,DNA/RC
vhaac39-1,Vacuolar H[+] ATPase AC39 subunit,DNA/RC
cg15239,,DNA/RC
cg6428,,DNA/RC
cg6414,,DNA/RC
asrna:cr45481,antisense,DNA/RC
lncrna:cr45482,long non-coding,DNA
lncrna:cr46247,long non-coding,DNA
cg43689,,DNA
cmtr1,Cap methyltransferase,DNA/P
lky,,DNA
rab35,,LINE/I
cg15717,dicistronic,LTR/Gypsy
mfs10,Major Facilitator Superfamily Transporter,LTR/Gypsy
cg32645,,DNA
cg9609,,DNA
mrpl22,mitochondrial ribosomal protein,DNA
if,,DNA
cdc50,Cell division cycle,DNA
hang,,LINE/I
regucalcin,,DNA/RC
chrac-16,Chromatin accessibility complex 16kD,DNA/RC
lsm12a,LSM12 homolog,DNA/RC
tango4,Transport and Golgi organization,DNA/RC
usp7,Ubiquitin-specific protease,DNA/RC
cyp311a1,Cytochrome P450,DNA
uch-l5r,,LTR/COPIA
muc11a,Mucin,DNA
lncrna:cr43961,long non-coding,DNA/RC
smvt,Sodium-dependent multivitamin,DNA
lncrna:cr43960,long non-coding,DNA/RC
cg2750,,DNA
cg32651,,DNA
cg2574,,DNA
pkcdelta,Protein kinase C,DNA
cg42258,,LINE/I
cpr11a,Cuticular protein,LINE/I
mks1,Meckel syndrome%2C type,LINE/I
cpr11b,Cuticular protein,DNA
pits,Protein interacting with Ttk69 and,DNA
lncrna:cr44568,long non-coding,DNA/RC
cg15728,,DNA/RC
aven,Apoptosis and caspase activation,DNA/RC
cg2540,,DNA/RC
tis11,Tis11 zinc finger,DNA/RC
lncrna:smrg,Scutellar Macrochaetes Regulatory,DNA/RC
